,gender,customer_type,age,type_of_travel,flight_distance,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,food_and_drink,inflight_entertainment,baggage_handling,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
30,Male,Loyal Customer,50,Business travel,67.0,4,4,4,2,5,5,5,0.0,0.0,satisfied
31,Female,Loyal Customer,42,Business travel,67.0,4,4,4,3,3,5,3,20.0,10.0,satisfied
32,Male,Loyal Customer,39,Business travel,67.0,4,4,4,3,5,5,2,0.0,0.0,satisfied
33,Male,Loyal Customer,51,Business travel,67.0,1,1,1,2,4,4,5,116.0,107.0,satisfied
34,Female,Loyal Customer,38,Business travel,67.0,4,1,1,1,3,4,4,26.0,103.0,dissatisfied
35,Male,Loyal Customer,46,Business travel,67.0,1,1,1,2,4,5,5,0.0,9.0,satisfied
36,Female,Disloyal Customer,85,Business travel,67.0,4,4,4,4,2,4,4,0.0,0.0,satisfied
37,Female,Loyal Customer,46,Business travel,67.0,3,3,3,4,4,4,5,0.0,0.0,satisfied
39,Male,Loyal Customer,45,Business travel,73.0,4,2,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
40,Male,Loyal Customer,59,Business travel,73.0,3,5,3,5,3,5,4,13.0,18.0,satisfied
41,Male,Loyal Customer,41,Business travel,73.0,3,3,3,2,4,5,5,0.0,0.0,satisfied
42,Female,Disloyal Customer,26,Business travel,73.0,1,2,1,4,4,3,4,0.0,0.0,dissatisfied
43,Male,Loyal Customer,42,Business travel,73.0,1,1,1,1,4,5,3,50.0,43.0,satisfied
44,Male,Loyal Customer,56,Business travel,73.0,4,4,4,4,5,4,5,0.0,0.0,satisfied
45,Male,Loyal Customer,42,Personal Travel,73.0,3,3,3,4,4,4,4,0.0,0.0,satisfied
46,Male,Loyal Customer,30,Business travel,1683.5360392191503,4,1,3,4,2,4,2,10.0,13.0743375378899,dissatisfied
47,Female,Disloyal Customer,33,Business travel,73.0,4,4,4,4,4,5,4,0.0,0.0,dissatisfied
48,Female,Loyal Customer,24,Business travel,73.0,2,4,4,3,3,5,3,26.0,-45.0,dissatisfied
49,Male,Loyal Customer,47,Business travel,73.0,2,2,2,3,4,5,4,71.0,66.0,satisfied
50,Male,Disloyal Customer,39,Business travel,74.0,1,1,1,5,5,4,5,0.0,0.0,dissatisfied
51,Male,Disloyal Customer,47,Business travel,74.0,2,2,2,3,3,5,3,0.0,0.0,dissatisfied
52,Female,Loyal Customer,51,Business travel,74.0,1,1,1,5,1,1,4,27.0,25.0,dissatisfied
53,Female,Disloyal Customer,22,Business travel,74.0,0,5,0,5,5,5,5,0.0,0.0,satisfied
54,Male,Loyal Customer,54,Business travel,74.0,0,5,0,3,1,1,4,0.0,0.0,satisfied
55,Male,Loyal Customer,52,Business travel,74.0,5,5,3,5,4,5,3,0.0,0.0,satisfied
56,Female,Loyal Customer,17,Business travel,74.0,2,1,5,4,4,3,4,25.0,13.0,dissatisfied
57,Female,Loyal Customer,33,Business travel,74.0,0,4,0,5,4,4,3,0.0,0.0,satisfied
58,Male,Loyal Customer,48,Business travel,74.0,5,5,5,5,4,4,4,0.0,0.0,satisfied
59,Female,Loyal Customer,51,Business travel,76.0,3,3,3,5,4,5,5,6.0,6.0,satisfied
60,Female,Loyal Customer,42,Business travel,1683.5360392191503,2,4,3,4,4,4,4,13.699978441564664,13.0743375378899,dissatisfied
61,Male,Loyal Customer,50,Business travel,77.0,3,3,5,1,4,3,2,15.0,9.0,dissatisfied
62,Male,Loyal Customer,42,Business travel,77.0,5,5,5,5,4,5,5,0.0,0.0,satisfied
63,Female,Loyal Customer,55,Business travel,77.0,2,2,2,4,5,5,5,0.0,0.0,satisfied
64,Female,Disloyal Customer,40,Business travel,78.0,2,2,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
65,Female,Loyal Customer,33,Business travel,78.0,5,5,4,1,5,5,5,0.0,0.0,satisfied
66,Male,Loyal Customer,30,Business travel,1683.5360392191503,4,4,3,4,5,4,5,10.0,13.0743375378899,satisfied
67,Female,Loyal Customer,16,Personal Travel,78.0,1,5,1,3,3,5,3,0.0,0.0,dissatisfied
68,Female,Loyal Customer,53,Business travel,78.0,3,3,3,5,5,5,3,32.0,24.0,satisfied
69,Female,Loyal Customer,60,Business travel,78.0,1,3,3,1,3,1,4,113.0,105.0,dissatisfied
70,Female,Loyal Customer,38,Business travel,80.0,0,5,0,5,3,3,5,0.0,14.0,satisfied
71,Male,Loyal Customer,32,Business travel,82.0,2,2,2,5,5,5,5,0.0,0.0,satisfied
72,Male,Loyal Customer,35,Business travel,83.0,1,1,5,1,5,5,2,1.0,0.0,satisfied
73,Male,Loyal Customer,33,Business travel,83.0,0,5,0,3,3,5,3,0.0,0.0,satisfied
74,Female,Disloyal Customer,24,Business travel,83.0,4,0,4,5,5,5,5,0.0,-45.0,satisfied
75,Female,Loyal Customer,35,Business travel,83.0,1,1,1,5,5,2,5,0.0,0.0,satisfied
76,Male,Loyal Customer,33,Business travel,83.0,3,5,5,2,2,4,2,0.0,0.0,dissatisfied
77,Male,Loyal Customer,45,Business travel,83.0,2,2,3,1,4,4,3,0.0,0.0,satisfied
78,Female,Loyal Customer,50,Business travel,83.0,3,4,4,5,2,3,2,11.0,7.0,dissatisfied
79,Male,Loyal Customer,30,Business travel,1683.5360392191503,5,5,3,4,5,3,5,10.0,13.0743375378899,satisfied
81,Female,Loyal Customer,56,Business travel,83.0,5,5,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
82,Male,Loyal Customer,51,Business travel,83.0,0,4,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
83,Male,Loyal Customer,44,Business travel,84.0,5,5,5,5,5,4,3,3.0,7.0,satisfied
84,Male,Loyal Customer,35,Personal Travel,84.0,3,2,3,4,4,4,4,0.0,0.0,dissatisfied
86,Male,Loyal Customer,60,Business travel,84.0,2,2,1,5,5,5,5,46.0,57.0,satisfied
87,Female,Loyal Customer,48,Business travel,84.0,0,4,0,2,4,5,5,0.0,0.0,satisfied
88,Male,Loyal Customer,49,Business travel,84.0,4,4,3,1,5,3,3,0.0,0.0,satisfied
89,Male,Loyal Customer,27,Business travel,84.0,5,5,5,5,5,1,5,0.0,0.0,satisfied
90,Female,Loyal Customer,44,Business travel,84.0,3,3,3,5,5,4,2,42.0,29.0,satisfied
91,Male,Loyal Customer,39,Business travel,84.0,0,3,0,5,2,3,4,0.0,0.0,satisfied
92,Male,Loyal Customer,45,Business travel,84.0,4,4,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
93,Male,Loyal Customer,39,Business travel,86.0,4,3,4,5,5,3,3,0.0,0.0,satisfied
94,Female,Loyal Customer,59,Personal Travel,86.0,4,4,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
95,Female,Loyal Customer,39,Business travel,86.0,3,1,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
96,Male,Loyal Customer,51,Business travel,86.0,3,3,4,2,1,3,4,21.0,16.0,dissatisfied
97,Female,Loyal Customer,47,Business travel,86.0,1,1,4,1,5,4,4,43.0,39.0,satisfied
98,Female,Loyal Customer,42,Business travel,86.0,0,5,0,3,2,2,5,0.0,0.0,satisfied
99,Female,Loyal Customer,57,Business travel,86.0,1,1,1,1,5,3,5,0.0,0.0,satisfied
100,Male,Loyal Customer,65,Personal Travel,86.0,1,5,1,1,2,2,4,114.0,120.0,dissatisfied
101,Male,Loyal Customer,42,Business travel,86.0,2,4,4,3,3,2,4,34.0,63.0,dissatisfied
102,Female,Loyal Customer,33,Business travel,86.0,4,4,4,5,4,4,4,23.0,27.0,satisfied
103,Female,Disloyal Customer,40,Business travel,86.0,1,1,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
104,Male,Loyal Customer,53,Business travel,86.0,4,5,5,2,1,4,2,0.0,0.0,dissatisfied
105,Male,Loyal Customer,67,Personal Travel,86.0,3,4,3,4,3,3,3,0.0,0.0,dissatisfied
106,Female,Loyal Customer,51,Business travel,86.0,4,4,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
107,Female,Loyal Customer,59,Business travel,86.0,0,4,0,2,1,1,3,8.0,3.0,satisfied
108,Male,Loyal Customer,39,Business travel,86.0,5,5,5,2,5,4,4,0.0,0.0,satisfied
109,Female,Loyal Customer,32,Business travel,86.0,5,5,5,4,4,5,4,0.0,14.0,satisfied
110,Female,Loyal Customer,39,Business travel,86.0,1,4,4,5,2,1,2,0.0,22.0,dissatisfied
111,Male,Loyal Customer,35,Business travel,86.0,3,2,2,2,1,3,3,0.0,0.0,dissatisfied
112,Female,Loyal Customer,57,Business travel,86.0,0,5,0,4,1,1,3,20.0,28.0,satisfied
113,Female,Loyal Customer,66,Personal Travel,86.0,3,5,3,3,5,5,4,0.0,0.0,dissatisfied
114,Male,Loyal Customer,46,Business travel,86.0,1,1,1,5,5,1,2,0.0,0.0,satisfied
115,Male,Loyal Customer,67,Personal Travel,86.0,4,4,4,5,4,4,4,0.0,0.0,dissatisfied
116,Female,Loyal Customer,64,Business travel,86.0,1,2,2,1,2,1,3,0.0,1.0,dissatisfied
117,Male,Loyal Customer,7,Personal Travel,1683.5360392191503,3,4,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
118,Male,Loyal Customer,39,Business travel,86.0,4,1,1,2,1,4,3,20.0,12.0,dissatisfied
119,Male,Loyal Customer,49,Personal Travel,86.0,5,2,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
120,Male,Disloyal Customer,21,Business travel,89.0,4,0,5,3,3,5,3,0.0,0.0,satisfied
121,Female,Loyal Customer,39,Business travel,89.0,4,3,3,3,2,4,3,0.0,0.0,dissatisfied
122,Male,Loyal Customer,54,Business travel,89.0,2,3,3,2,2,2,4,0.0,0.0,dissatisfied
123,Female,Loyal Customer,60,Business travel,89.0,1,1,4,3,4,4,5,0.0,0.0,satisfied
124,Male,Disloyal Customer,27,Business travel,89.0,2,2,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
125,Female,Loyal Customer,54,Business travel,89.0,4,1,4,4,5,5,5,5.0,0.0,satisfied
126,Male,Loyal Customer,49,Business travel,89.0,2,2,2,3,4,4,3,0.0,0.0,satisfied
127,Male,Loyal Customer,30,Business travel,1683.5360392191503,4,5,3,4,4,5,4,10.0,13.0743375378899,satisfied
128,Male,Loyal Customer,55,Business travel,89.0,1,1,1,2,3,3,2,49.0,59.0,satisfied
129,Female,Loyal Customer,27,Business travel,89.0,4,4,4,4,4,4,4,0.0,0.0,satisfied
130,Male,Loyal Customer,35,Business travel,89.0,2,3,3,4,1,2,4,0.0,2.0,dissatisfied
131,Male,Loyal Customer,56,Business travel,89.0,3,4,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
132,Female,Disloyal Customer,37,Business travel,89.0,4,4,4,3,3,4,3,0.0,0.0,dissatisfied
133,Female,Loyal Customer,42,Business travel,89.0,0,4,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
134,Male,Loyal Customer,38,Business travel,89.0,5,5,3,3,5,4,3,0.0,0.0,satisfied
135,Female,Loyal Customer,39,Business travel,89.0,1,1,1,4,4,4,4,0.0,0.0,satisfied
136,Male,Loyal Customer,54,Business travel,89.0,4,3,4,1,5,4,3,76.0,70.0,satisfied
137,Female,Loyal Customer,36,Business travel,89.0,3,3,3,1,5,3,3,0.0,0.0,satisfied
138,Female,Loyal Customer,46,Business travel,89.0,0,5,0,5,1,1,4,0.0,0.0,satisfied
139,Female,Loyal Customer,56,Business travel,89.0,1,1,1,4,4,4,4,0.0,0.0,satisfied
140,Female,Loyal Customer,25,Business travel,89.0,4,5,5,0,0,4,0,0.0,0.0,satisfied
141,Female,Loyal Customer,38,Business travel,89.0,5,1,5,5,4,5,5,0.0,0.0,satisfied
142,Male,Disloyal Customer,39,Business travel,89.0,5,0,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
143,Female,Disloyal Customer,33,Business travel,89.0,1,1,1,2,2,5,2,0.0,0.0,dissatisfied
144,Male,Loyal Customer,57,Business travel,89.0,2,2,2,2,5,4,4,5.0,4.0,satisfied
145,Female,Loyal Customer,49,Business travel,89.0,0,4,0,5,5,5,5,0.0,0.0,satisfied
146,Female,Loyal Customer,49,Business travel,89.0,2,3,4,2,3,2,2,37.0,30.0,dissatisfied
147,Male,Loyal Customer,38,Business travel,89.0,5,5,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
148,Male,Loyal Customer,57,Business travel,89.0,2,4,4,4,1,2,4,0.0,19.0,dissatisfied
149,Male,Loyal Customer,36,Business travel,89.0,4,4,4,3,5,3,2,0.0,4.0,satisfied
150,Male,Loyal Customer,15,Personal Travel,89.0,3,5,3,4,4,5,4,0.0,0.0,dissatisfied
151,Male,Loyal Customer,49,Business travel,89.0,5,5,5,3,5,5,5,0.0,0.0,satisfied
152,Male,Loyal Customer,39,Business travel,89.0,2,2,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
153,Male,Disloyal Customer,26,Business travel,89.0,4,3,4,4,4,3,4,29.0,25.0,dissatisfied
154,Male,Loyal Customer,49,Business travel,89.0,0,4,0,3,3,3,5,21.0,15.0,satisfied
155,Female,Disloyal Customer,47,Business travel,89.0,2,2,2,4,4,4,4,0.0,0.0,dissatisfied
156,Male,Loyal Customer,57,Business travel,89.0,0,4,0,3,4,4,4,0.0,0.0,satisfied
157,Male,Loyal Customer,42,Business travel,89.0,2,5,5,1,3,2,3,0.0,0.0,dissatisfied
158,Male,Loyal Customer,36,Business travel,89.0,4,4,4,5,4,5,5,134.0,129.0,satisfied
159,Male,Disloyal Customer,35,Business travel,89.0,3,3,3,3,3,4,3,0.0,0.0,dissatisfied
160,Female,Disloyal Customer,39,Business travel,89.0,2,2,2,4,4,4,4,0.0,44.0,satisfied
161,Male,Disloyal Customer,62,Business travel,89.0,3,3,3,4,4,3,4,13.0,9.0,dissatisfied
162,Male,Loyal Customer,33,Business travel,89.0,2,3,3,2,2,4,2,0.0,0.0,dissatisfied
163,Male,Loyal Customer,34,Business travel,89.0,5,5,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
164,Female,Disloyal Customer,25,Business travel,89.0,1,3,1,2,2,4,2,0.0,0.0,satisfied
165,Male,Loyal Customer,50,Personal Travel,89.0,4,4,0,2,4,4,3,23.0,14.0,dissatisfied
166,Male,Loyal Customer,59,Business travel,89.0,2,3,3,4,4,2,4,0.0,0.0,dissatisfied
167,Male,Disloyal Customer,55,Business travel,89.0,2,2,2,3,3,4,3,0.0,0.0,satisfied
169,Female,Disloyal Customer,24,Business travel,89.0,3,3,3,5,5,5,5,0.0,-45.0,dissatisfied
170,Male,Disloyal Customer,39,Business travel,89.0,4,4,4,4,4,3,4,0.0,0.0,dissatisfied
171,Female,Loyal Customer,50,Business travel,89.0,1,1,1,5,4,3,3,28.0,19.0,satisfied
172,Female,Loyal Customer,52,Business travel,89.0,2,2,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
173,Male,Loyal Customer,48,Business travel,89.0,4,4,4,4,4,4,5,19.0,16.0,satisfied
174,Female,Disloyal Customer,27,Business travel,89.0,3,3,3,3,3,4,3,57.0,52.0,dissatisfied
175,Male,Loyal Customer,38,Business travel,89.0,4,1,1,3,1,4,4,13.0,0.0,dissatisfied
176,Female,Loyal Customer,49,Business travel,90.0,4,4,2,3,4,4,3,0.0,0.0,satisfied
177,Female,Loyal Customer,69,Personal Travel,90.0,3,3,3,3,3,3,2,0.0,25.0,dissatisfied
178,Female,Loyal Customer,41,Business travel,90.0,4,1,4,5,3,5,5,64.0,210.0,satisfied
179,Female,Loyal Customer,42,Business travel,90.0,3,2,2,5,4,3,4,0.0,0.0,dissatisfied
180,Female,Disloyal Customer,47,Business travel,90.0,1,2,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
181,Male,Loyal Customer,66,Personal Travel,90.0,2,4,2,2,3,3,4,0.0,0.0,dissatisfied
182,Female,Loyal Customer,46,Personal Travel,90.0,2,5,2,5,5,5,4,0.0,25.0,dissatisfied
183,Male,Loyal Customer,48,Business travel,90.0,3,3,3,3,5,4,5,0.0,4.0,satisfied
184,Female,Loyal Customer,37,Personal Travel,95.0,2,3,2,1,5,5,5,0.0,0.0,dissatisfied
185,Male,Loyal Customer,51,Business travel,95.0,5,5,5,1,5,5,5,0.0,0.0,satisfied
186,Female,Loyal Customer,17,Business travel,95.0,2,2,4,4,4,3,4,0.0,0.0,satisfied
187,Male,Loyal Customer,46,Business travel,95.0,1,1,4,3,5,4,3,1.0,0.0,satisfied
188,Male,Loyal Customer,54,Business travel,95.0,4,4,4,2,4,5,4,2.0,0.0,satisfied
189,Male,Loyal Customer,30,Business travel,1683.5360392191503,4,4,3,4,3,4,3,10.0,13.0743375378899,satisfied
190,Male,Disloyal Customer,22,Business travel,95.0,5,0,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
191,Male,Loyal Customer,50,Business travel,95.0,1,3,3,4,4,4,3,455.0,13.0743375378899,dissatisfied
192,Female,Disloyal Customer,40,Business travel,95.0,5,5,5,2,2,2,2,3.0,16.0,satisfied
193,Female,Disloyal Customer,36,Business travel,96.0,3,3,3,2,2,4,2,0.0,0.0,dissatisfied
194,Female,Disloyal Customer,37,Business travel,96.0,4,4,4,4,4,4,4,123.0,124.0,satisfied
195,Female,Loyal Customer,59,Business travel,96.0,3,3,3,3,4,4,4,0.0,0.0,satisfied
196,Male,Loyal Customer,62,Business travel,96.0,2,2,2,3,5,4,2,0.0,0.0,satisfied
197,Female,Disloyal Customer,25,Business travel,96.0,5,0,5,5,5,5,5,0.0,0.0,satisfied
198,Male,Disloyal Customer,38,Business travel,96.0,4,4,4,2,2,4,2,0.0,0.0,satisfied
199,Female,Disloyal Customer,35,Business travel,96.0,3,3,3,2,2,4,2,0.0,15.0,dissatisfied
200,Female,Disloyal Customer,37,Business travel,96.0,2,2,2,2,2,4,2,0.0,0.0,dissatisfied
201,Male,Disloyal Customer,33,Business travel,96.0,3,3,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
202,Female,Loyal Customer,50,Personal Travel,96.0,4,4,0,3,3,3,4,0.0,3.0,satisfied
203,Male,Loyal Customer,40,Business travel,98.0,1,1,1,5,5,4,5,0.0,0.0,satisfied
204,Female,Loyal Customer,46,Business travel,100.0,3,3,3,3,4,5,5,0.0,0.0,satisfied
205,Female,Loyal Customer,48,Business travel,100.0,5,5,5,4,4,4,5,0.0,0.0,satisfied
206,Female,Disloyal Customer,36,Business travel,100.0,4,4,4,2,2,4,2,122.0,119.0,dissatisfied
207,Male,Loyal Customer,38,Business travel,100.0,5,5,5,2,4,4,4,0.0,0.0,satisfied
208,Male,Loyal Customer,51,Business travel,100.0,0,5,0,5,4,4,5,0.0,0.0,satisfied
209,Male,Loyal Customer,57,Business travel,100.0,0,4,0,4,5,1,5,0.0,0.0,satisfied
210,Female,Loyal Customer,42,Business travel,1683.5360392191503,2,4,3,4,4,4,4,13.699978441564664,13.0743375378899,satisfied
211,Male,Loyal Customer,43,Business travel,101.0,0,4,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
212,Male,Loyal Customer,30,Business travel,1683.5360392191503,0,5,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
213,Female,Loyal Customer,51,Business travel,101.0,0,4,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
214,Male,Loyal Customer,51,Business travel,101.0,0,3,1,5,3,3,5,0.0,5.0,satisfied
215,Female,Loyal Customer,66,Business travel,101.0,2,3,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
216,Female,Loyal Customer,43,Business travel,101.0,1,1,1,4,4,3,4,5.0,13.0,satisfied
217,Male,Loyal Customer,35,Business travel,101.0,3,3,3,5,4,3,3,0.0,0.0,satisfied
218,Male,Loyal Customer,42,Business travel,101.0,0,3,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
219,Female,Loyal Customer,41,Business travel,101.0,2,2,2,4,5,4,5,0.0,0.0,satisfied
220,Male,Loyal Customer,32,Business travel,101.0,3,2,3,4,4,3,4,0.0,1.0,satisfied
221,Female,Loyal Customer,43,Business travel,101.0,3,3,3,5,4,4,5,0.0,0.0,satisfied
222,Male,Loyal Customer,50,Business travel,101.0,1,4,1,1,4,5,4,4.0,16.0,satisfied
223,Female,Disloyal Customer,45,Business travel,101.0,2,2,2,5,5,5,5,0.0,0.0,dissatisfied
224,Male,Loyal Customer,48,Business travel,101.0,3,5,5,2,1,3,2,0.0,0.0,dissatisfied
225,Male,Loyal Customer,37,Business travel,101.0,4,4,4,2,5,3,5,0.0,0.0,satisfied
226,Female,Loyal Customer,65,Business travel,101.0,1,1,1,2,3,1,3,0.0,0.0,dissatisfied
227,Female,Disloyal Customer,22,Business travel,101.0,3,2,3,5,5,1,5,0.0,0.0,dissatisfied
228,Male,Loyal Customer,21,Personal Travel,101.0,2,4,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
229,Male,Loyal Customer,56,Personal Travel,101.0,2,4,2,4,4,4,5,0.0,0.0,dissatisfied
230,Male,Loyal Customer,47,Personal Travel,101.0,3,3,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
231,Female,Loyal Customer,40,Business travel,101.0,2,5,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
232,Male,Loyal Customer,56,Personal Travel,101.0,3,3,3,2,4,4,3,0.0,0.0,dissatisfied
233,Female,Loyal Customer,49,Personal Travel,101.0,4,5,4,5,3,3,4,0.0,0.0,satisfied
234,Female,Loyal Customer,44,Business travel,101.0,4,4,4,5,5,5,3,0.0,0.0,satisfied
235,Female,Loyal Customer,68,Business travel,101.0,2,2,2,2,4,5,4,0.0,3.0,satisfied
236,Female,Loyal Customer,17,Business travel,101.0,2,5,5,2,2,4,2,0.0,0.0,dissatisfied
237,Male,Loyal Customer,43,Business travel,101.0,4,4,4,3,4,4,5,0.0,0.0,satisfied
238,Female,Disloyal Customer,26,Business travel,101.0,2,5,2,4,4,4,4,0.0,2.0,dissatisfied
239,Female,Loyal Customer,38,Business travel,101.0,5,5,5,3,4,5,2,5.0,9.0,satisfied
240,Female,Loyal Customer,70,Personal Travel,101.0,5,5,0,1,2,2,4,0.0,0.0,satisfied
241,Female,Loyal Customer,36,Business travel,101.0,5,5,5,5,4,4,3,0.0,0.0,satisfied
242,Male,Loyal Customer,62,Business travel,101.0,1,1,1,4,4,3,2,0.0,0.0,satisfied
243,Female,Loyal Customer,49,Business travel,101.0,1,4,4,3,2,1,3,11.0,14.0,dissatisfied
244,Male,Loyal Customer,17,Personal Travel,101.0,0,4,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
245,Male,Loyal Customer,39,Business travel,101.0,2,2,5,5,5,3,4,0.0,0.0,satisfied
246,Female,Disloyal Customer,27,Business travel,101.0,4,4,4,4,4,4,4,0.0,0.0,satisfied
247,Male,Loyal Customer,58,Business travel,101.0,5,5,5,4,4,4,5,0.0,5.0,satisfied
248,Female,Loyal Customer,45,Business travel,101.0,3,3,3,5,5,5,4,0.0,0.0,satisfied
249,Female,Loyal Customer,34,Business travel,101.0,3,4,4,4,3,3,4,35.0,42.0,dissatisfied
250,Male,Loyal Customer,38,Business travel,101.0,5,5,5,4,5,4,2,0.0,0.0,satisfied
251,Female,Loyal Customer,11,Personal Travel,101.0,1,5,1,2,2,4,2,0.0,0.0,dissatisfied
252,Male,Loyal Customer,34,Business travel,101.0,0,5,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
253,Male,Disloyal Customer,57,Business travel,101.0,2,2,2,3,3,5,3,13.0,21.0,dissatisfied
254,Male,Loyal Customer,46,Business travel,101.0,0,4,0,3,3,3,5,0.0,0.0,satisfied
255,Female,Loyal Customer,67,Personal Travel,101.0,3,4,3,4,2,2,4,0.0,4.0,dissatisfied
256,Female,Disloyal Customer,22,Business travel,101.0,4,4,4,5,5,5,5,0.0,0.0,satisfied
257,Female,Loyal Customer,36,Business travel,101.0,2,2,3,5,4,2,4,6.0,22.0,dissatisfied
258,Male,Loyal Customer,37,Business travel,101.0,1,1,1,1,4,4,2,0.0,0.0,satisfied
259,Female,Loyal Customer,36,Business travel,101.0,3,3,4,5,4,4,3,0.0,0.0,satisfied
260,Female,Loyal Customer,62,Business travel,101.0,2,2,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
